"","ds","Global_reactive_power","y","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh","Voltage","Global_intensity"
"285",39,169.228,30.4922,1.058,9.417,5.695,14.3222,239.419784722222,5.39097222222222
"286",39,150.71,23.21,1.066,0.643,7.324,14.177,239.567055555556,4.07777777777778
"287",39,222.718,28.0083,0.996,3.722,9.952,13.3383,239.462430555556,4.99416666666667
"288",39,182.122,38.2753666666667,4.085,7.457,8.19,18.5433666666667,239.140111111111,6.79319444444444
"289",39,163.588,25.2715,1.405,0.582,10.225,13.0595,240.064784722222,4.4525
"290",40,146.734,28.6820333333333,1.507,6.622,5.96,14.5930333333333,239.239916666667,5.07375
"291",40,161.828,36.6477333333333,0.508,8.022,12.815,15.3027333333333,238.493791666667,6.47402777777778
"292",40,157.738,21.3409,0.979,5.024,3.692,11.6459,239.261069444444,3.8
"293",40,138.448,25.3076333333333,2.4,0.444,9.71,12.7536333333333,239.205076388889,4.45458333333333
"294",40,150.636,23.2348666666667,0,0.351,9.425,13.4588666666667,238.827111111111,4.08972222222222
"295",40,186.192,29.2706666666667,4.84,0.347,9.666,14.4176666666667,238.380715277778,5.16763888888889
"296",40,153.178,35.1019,2.498,8.255,10.886,13.4629,238.826277777778,6.20791666666667
"297",41,121.896,18.2540333333333,0,0.42,5.082,12.7520333333333,239.096548611111,3.23111111111111
"298",41,159.802,28.1309666666667,2.034,2.147,9.29,14.6599666666667,238.879145833333,4.98236111111111
"299",41,132.752,19.4495333333333,1.863,2.117,3.345,12.1245333333333,239.421159722222,3.48861111111111
"300",41,153.108,28.8741,2.63,0.414,7.806,18.0241,238.444152777778,5.10902777777778
"301",41,137.984,31.9084,1.02,5.028,11.659,14.2014,238.4813125,5.66708333333333
"302",41,125.204,32.1121333333333,0.969,3.799,8.463,18.8811333333333,238.765409722222,5.70069444444444
"303",41,150.05,34.3542,2.93,7.494,7.126,16.8042,239.101034722222,6.07875
"304",42,118.182,21.1055,1.061,0.339,7.654,12.0515,239.292708333333,3.72194444444444
"305",42,185.414,32.7407,0,7.871,9.876,14.9937,238.862618055556,5.82319444444444
"306",42,136.4,26.2821666666667,1.065,0.453,8.968,15.7961666666667,239.192131944444,4.63694444444444
"307",42,122.5,25.3088333333333,1.162,0.317,9.864,13.9658333333333,239.800284722222,4.43375
"308",42,121.478,34.7608,1.299,3.124,11.648,18.6898,239.652173611111,6.10319444444444
"309",42,139.544,27.6707666666667,2.363,0.296,13.225,11.7867666666667,241.824819444444,4.81472222222222
"310",42,154.028,32.3656666666667,3.712,4.357,7.313,16.9836666666667,241.490743055556,5.70166666666667
"311",43,116.41,27.5482666666667,0,0.299,13.027,14.2222666666667,240.545402777778,4.80583333333333
"312",43,128.3,32.6400666666667,1.067,5.186,10.68,15.7070666666667,241.232298611111,5.715
"313",43,146.782,31.0939333333333,4.459,0.364,9.115,17.1559333333333,240.808270833333,5.47319444444444
"314",43,132.2,30.8986333333333,1.478,2.433,7.385,19.6026333333333,240.472631944444,5.41361111111111
"315",43,109.676,23.9594666666667,0,0.348,5.766,17.8454666666667,240.680854166667,4.36583333333333
"316",43,109.186,29.7614666666667,1.374,4.856,8.949,14.5824666666667,240.201208333333,5.30916666666667
"317",43,92.298,8.53596666666667,0,0.283,1.765,6.48796666666667,240.866055555556,1.48527777777778
"318",44,86.998,9.09046666666667,0,0.269,2.749,6.07246666666667,241.193305555556,1.57444444444444
"319",44,89.84,13.5168,0,1.935,4.256,7.3258,240.625923611111,2.35138888888889
"320",44,107.2,21.3868333333333,0,4.7,8.915,7.77183333333333,240.338979166667,3.74236111111111
"321",44,85.046,8.27026666666667,0,0.293,1.991,5.98626666666667,240.938402777778,1.43597222222222
"322",44,93.362,24.0600333333333,1.346,2.115,12.245,8.35403333333333,239.348986111111,4.20263888888889
"323",44,88.124,8.20916666666667,0,0.282,1.936,5.99116666666667,240.190506944444,1.43430555555556
"324",44,138.802,24.7614333333333,0,4.387,7.068,13.3064333333333,240.205520833333,4.38402777777778
"325",45,131.35,25.0098666666667,1.265,0.397,6.583,16.7648666666667,239.659111111111,4.39625
"326",45,200.526,34.7063,1.105,5.515,10.69,17.3963,238.701958333333,6.14986111111111
"327",45,193.52,30.7459666666667,5.042,0.301,6.374,19.0289666666667,239.564909722222,5.48111111111111
"328",45,134.698,25.0176666666667,1.715,0.314,6.5,16.4886666666667,240.752645833333,4.435
"329",45,113.242,36.1871,0,4.573,15.375,16.2391,238.7154375,6.36722222222222
"330",45,237.652,43.5266666666667,3.697,0.304,13.767,25.7586666666667,239.110409722222,7.70694444444444
"331",45,185.61,31.4520666666667,3.445,0.32,6.024,21.6630666666667,240.260263888889,5.54055555555556
"332",46,137.468,35.9357666666667,1.018,4.165,13.281,17.4717666666667,239.825590277778,6.27194444444444
"333",46,140.952,36.9066333333333,0.978,4.933,11.076,19.9196333333333,241.122979166667,6.45347222222222
"334",46,141.59,34.1332333333333,1.055,0.295,16.345,16.4382333333333,239.946027777778,5.94069444444444
"335",46,133.066,24.8664666666667,1.606,0.571,7.503,15.1864666666667,239.984993055556,4.39638888888889
"336",46,123.978,38.4959,1.991,4.66,13.564,18.2809,240.983513888889,6.71805555555556
"337",46,168.03,43.5015666666667,2.588,2.199,14.99,23.7245666666667,240.603423611111,7.59888888888889
"338",46,161.762,36.3976333333333,5.201,2.097,7.066,22.0336333333333,242.260458333333,6.34763888888889
"339",47,112.03,28.7275666666667,1.089,0.253,10.75,16.6355666666667,242.766354166667,5.00625
"340",47,124.832,34.9309333333333,1.015,3.954,11.026,18.9359333333333,241.338826388889,6.09041666666667
"341",47,131.612,29.2535333333333,1.141,0.549,9.473,18.0905333333333,241.495118055556,5.12111111111111
"342",47,143.108,32.2063,2.867,0.297,9.001,20.0413,241.565048611111,5.65625
"343",47,138.912,42.0436333333333,2.168,6.181,13.685,20.0096333333333,240.722368055556,7.34069444444444
"344",47,150.512,31.6509,1.573,4.131,13.451,12.4959,241.802743055556,5.51263888888889
"345",47,122.776,23.2599666666667,3.556,0.279,5.678,13.7469666666667,242.661159722222,4.08666666666667
"346",48,117.05,26.1619333333333,1.088,0.288,8.926,15.8599333333333,241.116493055556,4.60138888888889
"347",48,139.994,46.6835333333333,1.063,11.02,15.111,19.4895333333333,241.321097222222,8.15625
"348",48,115.442,27.4156666666667,1.182,0.769,7.81,17.6546666666667,242.894805555556,4.77555555555556
"349",48,118.71,28.6575333333333,2.031,0.283,8.818,17.5255333333333,242.732340277778,5.01569444444444
"350",48,147.28,38.8621333333333,0,7.941,13.601,17.3201333333333,243.48775,6.75722222222222
"351",48,288.892,52.2490333333333,9.356,0.353,17.847,24.6930333333333,240.266083333333,9.19152777777778
"352",48,325.082,49.1031333333333,2.09,6.915,10.636,29.4621333333333,240.730006944444,8.61861111111111
"353",49,131.914,29.3676666666667,1.141,0.299,10.428,17.4996666666667,241.079590277778,5.16555555555556
"354",49,145.016,34.4606,1.012,5.828,8.561,19.0596,241.535979166667,6.04513888888889
"355",49,178.398,35.8853333333333,3.422,0.295,10.919,21.2493333333333,241.227881944444,6.34819444444444
"356",49,161.936,41.4655666666667,4.751,0.318,11.908,24.4885666666667,239.710097222222,7.33791666666667
"357",49,147.64,29.4836,0.459,3.71,10.263,15.0516,240.671048611111,5.15791666666667
"358",49,154.34,36.8900666666667,1.133,2.354,12.283,21.1200666666667,239.559930555556,6.50805555555556
"359",49,200.936,37.9097333333333,4.176,2.428,8.728,22.5777333333333,239.915076388889,6.70152777777778
"360",50,125.012,29.3125666666667,1.102,0.278,8.281,19.6515666666667,241.903833333333,5.17458333333333
"361",50,133.698,38.4184,1.05,3.817,12.74,20.8114,241.460236111111,6.71222222222222
"362",50,116.886,26.4677,1.152,0.254,7.759,17.3027,242.476326388889,4.59111111111111
"363",50,111.49,30.7957666666667,1.103,1.448,8.911,19.3337666666667,241.827340277778,5.41958333333333
"364",50,179.55,32.9134666666667,0.98,3.849,12.941,15.1434666666667,241.985923611111,5.75777777777778
"365",50,157.626,45.6146,1.706,3.687,14.313,25.9086,241.280645833333,7.98
"366",50,126.938,46.0369666666667,3.41,2.281,12.929,27.4169666666667,242.684986111111,7.99222222222222
"367",51,105.194,29.9737,1.636,0.243,10.567,17.5277,242.625729166667,5.18972222222222
"368",51,144.08,43.7199,1.123,5.81,11.093,25.6939,242.939986111111,7.60208333333333
"369",51,109.336,36.6008666666667,1.233,2.658,11.679,21.0308666666667,242.701097222222,6.33444444444444
"370",51,119.434,32.4959666666667,1.859,0.276,13.592,16.7689666666667,243.1679375,5.61333333333333
"371",51,106.47,33.0429333333333,1.191,0.2,12.251,19.4009333333333,242.881631944444,5.71375
"372",51,141.314,43.5210666666667,3.819,4.55,12.673,22.4790666666667,242.145534722222,7.59347222222222
"373",51,176.272,40.1508,1.971,3.091,11.962,23.1268,242.5579375,6.98277777777778
"374",52,149.754,37.6308,2.985,2.316,14.35,17.9798,242.650423611111,6.54972222222222
"375",52,151.812,44.9161333333333,4.588,3.368,9.084,27.8761333333333,242.980868055556,7.79097222222222
"376",52,140.314,43.0046666666667,1.109,2.773,9.48,29.6426666666667,242.392395833333,7.42611111111111
"377",52,190.582,42.2033,4.122,1.49,7.96,28.6313,242.111611111111,7.39583333333333
"378",52,206.8,51.8842,1.98,8.554,15.823,25.5272,242.284479166667,9.03055555555556
"379",52,199.892,54.9826,4.836,2.434,14.906,32.8066,240.550666666667,9.56
"380",52,178.436,42.6486,3.595,3.597,13.485,21.9716,242.099173611111,7.46569444444444
"381",53,145.536,36.9423666666667,0,3.457,14.071,19.4143666666667,241.094791666667,6.455
"382",1,142.508,45.9956333333333,2.461,2.739,12.355,28.4406333333333,241.036673611111,7.97861111111111
"383",1,111.666,27.4017666666667,0,3.094,8.987,15.3207666666667,242.417451388889,4.77041666666667
"384",1,121.182,25.1684666666667,1.13,0.846,6.671,16.5214666666667,243.077458333333,4.40166666666667
"385",1,136.706,38.1975333333333,1.241,5.326,11.752,19.8785333333333,241.273381944444,6.71513888888889
"386",1,129.464,36.3874666666667,2.113,0.286,14.591,19.3974666666667,238.822944444444,6.44680555555556
"387",1,116.958,30.4197333333333,1.966,2.445,7.824,18.1847333333333,239.407291666667,5.39013888888889
"388",1,116.172,28.2635666666667,1.288,0.282,10.294,16.3995666666667,240.7439375,4.91527777777778
"389",2,127.452,34.0591666666667,2.197,3.511,9.793,18.5581666666667,240.821805555556,5.99
"390",2,125.336,29.8073333333333,1.162,0.284,8.963,19.3983333333333,241.258638888889,5.23194444444444
"391",2,120.504,31.5679333333333,1.307,0.285,9.992,19.9839333333333,240.807138888889,5.59458333333333
"392",2,95.484,28.4303,1.261,0.29,7.997,18.8823,240.410048611111,4.96347222222222
"393",2,162.724,47.8568,5.594,2.621,11.116,28.5258,239.960180555556,8.52388888888889
"394",2,144.786,48.1018333333333,6.505,0.341,9.379,31.8768333333333,239.747027777778,8.45680555555556
"395",2,120.11,33.7488666666667,5.918,0.339,9.738,17.7538666666667,240.299006944444,6.01458333333333
"396",3,113.144,44.7818666666667,0.782,6.883,14.512,22.6048666666667,240.709486111111,7.89125
"397",3,128.93,35.5975333333333,1.162,3.43,9.391,21.6145333333333,240.422145833333,6.31958333333333
"398",3,116.718,26.2047,1.007,0.35,8.657,16.1907,241.627993055556,4.645
"399",3,119.29,36.4498,1.034,0.846,14.983,19.5868,239.932930555556,6.43222222222222
"400",3,134.982,33.0051,2.521,6.054,8.015,16.4151,239.605923611111,5.82888888888889
"401",3,138.614,29.0061333333333,1.775,0.38,4.94,21.9111333333333,239.944541666667,5.14888888888889
"402",3,122.4,30.9833,0,0.376,10.447,20.1603,239.56475,5.51902777777778
"403",4,143.462,38.7503,4.67,7.64,7.552,18.8883,240.094777777778,6.92875
"404",4,107.984,31.3718,1.116,0.387,13.359,16.5098,240.907048611111,5.52027777777778
"405",4,104.306,27.4170333333333,1.107,0.32,5.935,20.0550333333333,240.779229166667,4.88791666666667
"406",4,119.626,37.3309333333333,0,2.421,11.409,23.5009333333333,240.705444444444,6.54402777777778
"407",4,168.422,47.2498,4.925,0.311,15.606,26.4078,239.760208333333,8.36666666666667
"408",4,140.758,39.6961,3.725,3.818,7.367,24.7861,241.303673611111,6.98486111111111
"409",4,107.836,38.4699333333333,1.142,0.28,12.792,24.2559333333333,240.466777777778,6.76958333333333
"410",5,117.176,44.6004,1.487,6.199,11.077,25.8374,240.623104166667,7.84222222222222
"411",5,116.47,27.3441,0,0.261,7.261,19.8221,241.614652777778,4.82638888888889
"412",5,137.576,32.5653666666667,1.165,0.267,9.437,21.6963666666667,241.88575,5.79333333333333
"413",5,179.25,25.5775333333333,0.336,0.28,7.241,17.7205333333333,240.360270833333,4.51763888888889
"414",5,231.426,49.0073,6.286,2.764,15.206,24.7513,240.289173611111,8.65625
"415",5,153.708,34.7428,2.319,4.435,8.452,19.5368,240.340722222222,6.13569444444444
"416",5,104.034,27.1356333333333,1.161,0.252,9.531,16.1916333333333,240.255208333333,4.77722222222222
"417",6,152.786,41.2076,1.098,7.803,13.717,18.5896,240.976916666667,7.21055555555556
"418",6,114.26,27.8256666666667,2.114,0.356,8.428,16.9276666666667,238.413715277778,4.93361111111111
"419",6,108.706,25.3051666666667,0,0.295,8.089,16.9211666666667,241.070548611111,4.43930555555556
"420",6,119.094,32.5094,0.94,1.921,9.563,20.0854,240.433118055556,5.74722222222222
"421",6,144.528,35.0379333333333,2.05,2.838,10.293,19.8569333333333,241.764506944444,6.09
"422",6,151.736,36.4119,2.562,2.955,10.128,20.7669,241.275201388889,6.39680555555556
"423",6,102.246,28.2002666666667,1.018,0.297,8.93,17.9552666666667,241.692194444444,4.93180555555556
"424",7,130.946,33.1299666666667,2.009,1.856,12.138,17.1269666666667,239.509152777778,5.84708333333333
"425",7,128.478,31.6749666666667,2.53,3.615,7.568,17.9619666666667,241.203097222222,5.58013888888889
"426",7,113.646,26.7437,1.3,0.291,9.299,15.8537,240.764819444444,4.68375
"427",7,107.952,33.4201333333333,1.109,1.723,13.417,17.1711333333333,241.890604166667,5.78125
"428",7,138.994,39.1158,1.076,2.36,11.599,24.0808,241.087555555556,6.89388888888889
"429",7,120.076,32.2228,3.182,2.257,6.049,20.7348,242.469833333333,5.65444444444444
"430",7,101.972,25.2400666666667,0,0.251,10.345,14.6440666666667,242.063930555556,4.37625
"431",8,137.568,35.4486,1.881,4.711,11.2,17.6566,241.010131944444,6.21972222222222
"432",8,190.268,37.5631666666667,3.655,5.516,7.704,20.6881666666667,241.6696875,6.60833333333333
"433",8,112.274,27.2308333333333,0,0.307,8.523,18.4008333333333,240.750388888889,4.78847222222222
"434",8,121.688,28.8760666666667,1.167,1.985,10.101,15.6230666666667,241.435763888889,5.05527777777778
"435",8,132.504,30.6079,1.684,2.25,10.074,16.5999,239.668652777778,5.41125
"436",8,107.332,21.0501333333333,0.754,0.332,11.447,8.51713333333333,240.377798611111,3.63888888888889
"437",8,91.72,8.40813333333333,0,0.321,1.856,6.23113333333333,239.776006944444,1.45555555555556
"438",9,84.59,8.452,0,0.295,2.013,6.144,239.533326388889,1.45902777777778
"439",9,86.168,9.44533333333333,0,0.326,2.969,6.15033333333333,239.554020833333,1.63416666666667
"440",9,83.248,8.4864,0,0.281,2.028,6.1774,239.804270833333,1.46694444444444
"441",9,88.948,22.2224666666667,0,3.773,8.062,10.3874666666667,238.038493055556,3.87263888888889
"442",9,105.158,19.0312666666667,0,1.287,2.724,15.0202666666667,239.431513888889,3.27763888888889
"443",9,144.71,19.3704333333333,0,5.244,2.565,11.5614333333333,239.746243055556,3.425
"444",9,114.334,17.3425,0,2.207,1.755,13.3805,240.351986111111,2.9775
"445",10,108.958,27.8165,1.249,2.443,9.415,14.7095,241.026416666667,4.86763888888889
"446",10,140.898,33.9534666666667,1.145,9.797,5.529,17.4824666666667,241.065243055556,5.97083333333333
"447",10,106.184,41.7201333333333,1.082,0.372,6.965,33.3011333333333,240.429229166667,7.21458333333333
"448",10,129.392,31.0492666666667,1.235,3.471,9.033,17.3102666666667,240.816069444444,5.44166666666667
"449",10,237.08,37.4776666666667,6.286,0.346,8.435,22.4106666666667,241.590951388889,6.58833333333333
"450",10,135.574,26.0076333333333,2.607,0.333,4.155,18.9126333333333,240.746381944444,4.59111111111111
"451",10,127.124,26.9781,2.009,0.368,8.66,15.9411,241.727347222222,4.7125
"452",11,151.1,36.6673666666667,1.271,3.901,12.936,18.5593666666667,240.424152777778,6.46694444444444
"453",11,138.194,29.5705333333333,1.12,2.374,11.042,15.0345333333333,241.057208333333,5.17222222222222
"454",11,128.474,27.9252333333333,3.263,3.59,5.464,15.6082333333333,240.802625,4.94166666666667
"455",11,159.748,36.837,0.98,3.881,14.476,17.5,240.627368055556,6.44625
"456",11,154.412,26.2716666666667,2.55,0.502,5.91,17.3096666666667,240.197993055556,4.65069444444444
"457",11,173.652,30.0326666666667,2.394,0.566,11.286,15.7866666666667,241.294666666667,5.29833333333333
"458",11,175.274,28.4486333333333,0.236,6.651,9.346,12.2156333333333,240.805229166667,5.00694444444444
"459",12,147.44,31.9594333333333,1.156,4.019,12.544,14.2404333333333,241.928986111111,5.57194444444444
"460",12,142.498,21.8074666666667,2.11,0.411,6.154,13.1324666666667,242.402215277778,3.82555555555556
"461",12,120.854,20.8879,1.107,0.478,6.67,12.6329,241.762583333333,3.65958333333333
"462",12,223.824,34.4407,2.171,4.778,13.275,14.2167,241.369909722222,6.03819444444444
"463",12,185.68,34.2252666666667,3.322,0.588,12.405,17.9102666666667,241.612152777778,6.02027777777778
"464",12,152.446,38.7665,6.279,2.112,13.878,16.4975,242.652625,6.79055555555556
"465",12,131.13,32.9378666666667,1.131,5.989,7.026,18.7918666666667,242.705763888889,5.75861111111111
"466",13,127.832,33.5976,2.246,3.677,13.494,14.1806,242.138215277778,5.87055555555556
"467",13,133.598,27.2245333333333,2.547,3.831,7.547,13.2995333333333,242.809798611111,4.76305555555556
"468",13,116.44,22.8470333333333,0,0.356,9.022,13.4690333333333,242.095541666667,3.96083333333333
"469",13,137.64,31.4237333333333,2.325,3.605,11.581,13.9127333333333,242.323340277778,5.47902777777778
"470",13,175.068,41.1858333333333,5.153,0.375,17.24,18.4178333333333,241.253548611111,7.20930555555556
"471",13,175.97,35.7732,5.045,1.315,9.769,19.6442,241.163756944444,6.2775
"472",13,130.86,22.9595,1.091,0.411,9.387,12.0705,242.727041666667,4.00597222222222
"473",14,170.396,35.4842,1.079,6.657,14.515,13.2332,241.615805555556,6.2025
"474",14,142.54,28.1945333333333,1.106,3.674,7.989,15.4255333333333,238.667159722222,5.00763888888889
"475",14,121.236,18.8126,0,0.422,6.901,11.4896,240.694243055556,3.28083333333333
"476",14,125.306,27.1986333333333,2.133,0.775,13.246,11.0446333333333,241.331055555556,4.72638888888889
"477",14,203.684,32.8460333333333,2.929,0.874,13.644,15.3990333333333,240.558027777778,5.78486111111111
"478",14,150.572,28.2719666666667,1.124,2.615,7.552,16.9809666666667,241.149604166667,4.94638888888889
"479",14,141.28,25.6473,2.42,0.672,9.466,13.0893,243.228326388889,4.48416666666667
"480",15,184.176,44.2919333333333,2.752,10.713,17.519,13.3079333333333,242.066583333333,7.69944444444444
"481",15,132.864,20.3142,0,0.376,9.003,10.9352,242.317708333333,3.52291666666667
"482",15,163.68,24.6291,3.261,0.457,6.527,14.3841,241.949048611111,4.30541666666667
"483",15,143.89,31.2944,1.802,0.491,14.522,14.4794,240.758375,5.45263888888889
"484",15,392.272,46.6669,7.076,2.499,15.225,21.8669,241.063173611111,8.21819444444444
"485",15,213.514,37.2164333333333,2.554,5.942,13.007,15.7134333333333,240.423326388889,6.55180555555556
"486",15,154.958,26.4930333333333,0,0.425,11.197,14.8710333333333,242.314055555556,4.60430555555556
"487",16,178.782,27.8401,1.174,3.998,9.874,12.7941,241.238743055556,4.90958333333333
"488",16,125.904,24.8177333333333,0.838,0.403,11.322,12.2547333333333,241.744388888889,4.31611111111111
"489",16,145.878,23.2643666666667,1.719,0.417,8.638,12.4903666666667,241.403597222222,4.10430555555556
"490",16,184.646,31.0398333333333,2.174,3.832,10.921,14.1128333333333,240.641576388889,5.45763888888889
"491",16,245.284,37.5618333333333,4.319,2.457,14.722,16.0638333333333,241.143180555556,6.63611111111111
"492",16,227.854,29.8569666666667,1.03,4.544,10.401,13.8819666666667,241.432875,5.26055555555556
"493",16,175.4,19.4026,0,2.673,6.788,9.9416,241.992493055556,3.40416666666667
"494",17,193.15,27.1279333333333,0.971,5.093,10.603,10.4609333333333,240.959715277778,4.7725
"495",17,189.502,22.6221333333333,1.38,0.492,8.406,12.3441333333333,241.511340277778,3.9675
"496",17,171.924,17.3962,1.263,0.522,5.296,10.3152,240.605326388889,3.05805555555556
"497",17,162.224,21.1289,0.824,2.004,9.4,8.9009,241.007152777778,3.7
"498",17,168.696,15.0527666666667,0,0.634,3.586,10.8327666666667,240.7925625,2.63402777777778
"499",17,198.118,16.804,0.693,0.588,5.488,10.035,240.907284722222,2.96375
"500",17,167.118,10.9842,0,0.621,2.786,7.5772,240.978458333333,1.95069444444444
"501",18,215.356,32.8769333333333,1.402,5.411,10.481,15.5829333333333,240.706902777778,5.77069444444444
"502",18,171.556,18.3621,1.057,0.59,6.653,10.0621,241.433645833333,3.21861111111111
"503",18,150.696,9.60023333333333,0,0.53,2.586,6.48423333333333,241.446263888889,1.70236111111111
"504",18,205.568,24.9628,3.114,0.584,8.687,12.5778,241.648944444444,4.37777777777778
"505",18,202.004,21.4933333333333,0.996,0.541,6.535,13.4213333333333,240.8336875,3.80097222222222
"506",18,209.422,24.5161666666667,2.196,2.872,5.464,13.9841666666667,241.380479166667,4.3625
"507",18,185.75,22.7822,1.008,0.378,10.197,11.1992,240.736854166667,3.99777777777778
"508",19,199.596,29.833,1.354,5.41,12.2,10.869,240.290319444444,5.24597222222222
"509",19,190.956,19.6044,1.03,0.423,6.649,11.5024,241.081263888889,3.4575
"510",19,253.244,35.2783,3.667,0.702,12.717,18.1923,239.851291666667,6.17847222222222
"511",19,229.874,29.1212,2.229,0.423,11.904,14.5652,240.471222222222,5.13611111111111
"512",19,289.814,31.8188,6.95,0.612,11.714,12.5428,240.086229166667,5.63638888888889
"513",19,275.702,26.8486666666667,0.563,1.34,6.93,18.0156666666667,240.485597222222,4.80416666666667
"514",19,229.14,25.4034,2.082,1.085,11.959,10.2774,241.041625,4.51944444444444
"515",20,236.468,24.6149,0.823,4.089,8.37,11.3329,240.3740625,4.39180555555556
"516",20,277.374,26.4043666666667,2.467,3.436,9.716,10.7853666666667,240.708513888889,4.71333333333333
"517",20,237.724,19.3794666666667,0.868,0.57,6.82,11.1214666666667,240.350395833333,3.52208333333333
"518",20,235.398,27.5187666666667,2.228,2.569,8.957,13.7647666666667,239.615659722222,4.92458333333333
"519",20,275.896,27.6242333333333,2.158,0.935,12.472,12.0592333333333,239.472861111111,4.95152777777778
"520",20,254.492,30.0659666666667,1.775,5.355,8.626,14.3099666666667,239.6826875,5.40944444444444
"521",20,175.736,17.1710333333333,1.014,0.558,7.503,8.09603333333333,240.431875,3.06944444444444
"522",21,184.082,26.3555666666667,1.352,2.431,11.977,10.5955666666667,241.019604166667,4.68222222222222
"523",21,190.326,22.0685333333333,1.989,0.474,9.251,10.3545333333333,240.760513888889,3.91666666666667
"524",21,169.816,16.2811333333333,0.996,0.44,6.475,8.37013333333333,239.500194444444,2.95597222222222
"525",21,178.958,24.7486,0,1.39,14.734,8.6246,239.498854166667,4.35861111111111
"526",21,285.55,26.3362666666667,1.027,0.569,12.833,11.9072666666667,240.724902777778,4.66902777777778
"527",21,290.416,34.1417333333333,4.307,8.811,6.016,15.0077333333333,239.945645833333,6.13652777777778
"528",21,220.698,21.4951666666667,0.985,0.666,9.284,10.5601666666667,240.3636875,3.92972222222222
"529",22,207.466,28.4783333333333,0,5.352,11.478,11.6483333333333,239.390868055556,5.10736111111111
"530",22,235.644,18.5728666666667,3.138,0.512,6.709,8.21386666666667,241.322694444444,3.35055555555556
"531",22,186.832,18.9179333333333,1.004,0.507,8.703,8.70393333333333,237.675159722222,3.47569444444444
"532",22,182.218,23.2874,0,3.019,11.298,8.9704,240.553694444444,4.20291666666667
"533",22,249.924,27.3578333333333,1.764,2.328,11.858,11.4078333333333,240.654201388889,4.92305555555556
"534",22,225.34,30.8146,1.906,0.545,11.307,17.0566,240.623180555556,5.42319444444444
"535",22,165.158,17.9002,0.96,0.558,6.341,10.0412,236.369875,3.21805555555556
"536",23,173.938,26.6302666666667,2.897,2.608,9.265,11.8602666666667,234.152208333333,4.84416666666667
"537",23,152.404,26.4818666666667,1.55,7.682,6.508,10.7418666666667,234.706472222222,4.82777777777778
"538",23,153.106,18.6679666666667,1.747,0.506,8.781,7.63396666666667,235.163826388889,3.39763888888889
"539",23,174.52,20.2952333333333,1.009,0.506,7.871,10.9092333333333,239.7169375,3.67208333333333
"540",23,186.414,31.3747333333333,2.379,2.611,14.593,11.7917333333333,238.984444444444,5.53194444444444
"541",23,188.384,25.7053666666667,2.536,3.161,9.732,10.2763666666667,239.9649375,4.59611111111111
"542",23,183.64,22.0949666666667,1.967,2.085,7.921,10.1219666666667,239.434680555556,4.03972222222222
"543",24,216.018,17.7848333333333,0.907,0.585,8.992,7.30083333333333,239.978048611111,3.20486111111111
"544",24,214.372,18.7201,0.977,0.842,7.566,9.3351,240.154472222222,3.38847222222222
"545",24,189.292,20.9888666666667,1.951,0.567,7.246,11.2248666666667,239.690020833333,3.79930555555556
"546",24,281.936,31.2516666666667,2.809,7.358,10.531,10.5536666666667,238.8885,5.60444444444444
"547",24,344.28,23.082,1.862,1.011,10.681,9.528,240.014493055556,4.20777777777778
"548",24,281.006,38.1517,6.471,6.802,11.589,13.2897,239.453729166667,6.77361111111111
"549",24,204.382,21.7174,1.98,0.464,10.012,9.2614,240.433465277778,3.90472222222222
"550",25,175.464,19.0847333333333,1.08,0.432,10.094,7.47873333333333,240.354430555556,3.43458333333333
"551",25,272.724,31.5601333333333,7.549,3.04,12.687,8.28413333333333,239.739868055556,5.71138888888889
"552",25,189.418,26.4680333333333,3.411,1.514,10.911,10.6320333333333,239.2726875,4.73791666666667
"553",25,227.42,27.9350666666667,2.948,2.935,12.417,9.63506666666667,239.9391875,5.00819444444444
"554",25,239.028,28.9042333333333,0.94,5.823,12.828,9.31323333333333,239.463409722222,5.13416666666667
"555",25,294.144,26.1069333333333,4.705,1.175,10.652,9.57493333333333,239.044118055556,4.67402777777778
"556",25,210.956,20.8632666666667,2.6,0.581,10.124,7.55826666666667,238.937652777778,3.79194444444444
"557",26,253.022,29.2408666666667,2.779,3.489,14.271,8.70186666666667,237.915388888889,5.26222222222222
"558",26,290.626,21.0295,2.773,0.569,9.402,8.2855,238.894902777778,3.91097222222222
"559",26,217.414,17.6003333333333,0.921,0.572,8.971,7.13633333333333,239.351402777778,3.21111111111111
"560",26,262.008,29.2525333333333,4.159,2.372,10.163,12.5585333333333,238.934986111111,5.23666666666667
"561",26,210.954,20.1466666666667,0,2,7.932,10.2146666666667,239.142381944444,3.68597222222222
"562",26,183.664,12.4892,0.955,0.535,3.896,7.1032,240.160645833333,2.33111111111111
"563",26,189.526,13.4032666666667,0,0.521,6.819,6.06326666666667,240.376118055556,2.47916666666667
"564",27,277.788,20.254,3.465,0.587,8.39,7.812,239.540291666667,3.74
"565",27,266.538,19.1200333333333,0.962,0.65,7.002,10.5060333333333,238.961979166667,3.56958333333333
"566",27,213.748,18.306,0.958,2.569,7.41,7.369,239.635493055556,3.34319444444444
"567",27,188.132,15.7003333333333,0,0.589,8.302,6.80933333333333,240.179652777778,2.82833333333333
"568",27,224.78,24.4848,1.875,6.754,8.365,7.4908,239.564770833333,4.38652777777778
